user_id,x_m,y_m,z_m
142,-2171.357410775,2722.796072002,-0.951845264
143,-2552.916839434,2368.760660340,-0.951845264
144,-2877.448324468,1961.811049785,-0.951845264
145,-3137.702368773,1511.037822173,-0.951845264
146,-3327.865327057,1026.510506529,-0.951845264
147,-3443.689273066,519.052642426,-0.951845264
148,-3482.586891241,0.000000000,-0.951845264
149,-3443.689273066,-519.052642426,-0.951845264
150,-3327.865327057,-1026.510506529,-0.951845264
151,-3137.702368773,-1511.037822173,-0.951845264
152,-2877.448324468,-1961.811049785,-0.951845264
153,-2552.916839434,-2368.760660340,-0.951845264
154,-2171.357410775,-2722.796072002,-0.951845264
155,-1741.293445620,-3016.008718701,-0.951845264
156,-1272.331862291,-3241.848714428,-0.951845264
157,-774.948487623,-3395.271166869,-0.951845264
158,-260.254044305,-3472.848871958,-0.951845264
159,260.254044305,-3472.848871958,-0.951845264
160,774.948487623,-3395.271166869,-0.951845264
161,1272.331862291,-3241.848714428,-0.951845264
162,1741.293445620,-3016.008718701,-0.951845264
163,2171.357410775,-2722.796072002,-0.951845264
164,2552.916839434,-2368.760660340,-0.951845264
165,2877.448324468,-1961.811049785,-0.951845264
166,3137.702368773,-1511.037822173,-0.951845264
167,3327.865327057,-1026.510506529,-0.951845264
168,3443.689273066,-519.052642426,-0.951845264
169,3980.099243598,0.000000000,-1.243226458
170,3946.048942823,519.507198925,-1.243226458
171,3844.480650584,1030.125485641,-1.243226458
172,3677.132228523,1523.118039694,-1.243226458
173,3446.867054539,1990.049621799,-1.243226458
174,3157.625029599,2422.930903129,-1.243226458
175,2814.355164943,2814.355164943,-1.243226458
176,2422.930903129,3157.625029599,-1.243226458
177,1990.049621799,3446.867054539,-1.243226458
178,1523.118039694,3677.132228523,-1.243226458
179,1030.125485641,3844.480650584,-1.243226458
180,519.507198925,3946.048942823,-1.243226458
181,0.000000000,3980.099243598,-1.243226458
182,-519.507198925,3946.048942823,-1.243226458
183,-1030.125485641,3844.480650584,-1.243226458
184,-1523.118039694,3677.132228523,-1.243226458
185,-1990.049621799,3446.867054539,-1.243226458
186,-2422.930903129,3157.625029599,-1.243226458
187,-2814.355164943,2814.355164943,-1.243226458
188,-3157.625029599,2422.930903129,-1.243226458
189,-3446.867054539,1990.049621799,-1.243226458
190,-3677.132228523,1523.118039694,-1.243226458
191,-3844.480650584,1030.125485641,-1.243226458
192,-3946.048942823,519.507198925,-1.243226458
193,-3980.099243598,0.000000000,-1.243226458
194,-3946.048942823,-519.507198925,-1.243226458
195,-3844.480650584,-1030.125485641,-1.243226458
196,-3677.132228523,-1523.118039694,-1.243226458
197,-3446.867054539,-1990.049621799,-1.243226458
198,-3157.625029599,-2422.930903129,-1.243226458
199,-2814.355164943,-2814.355164943,-1.243226458
200,-2422.930903129,-3157.625029599,-1.243226458
201,-1990.049621799,-3446.867054539,-1.243226458
202,-1523.118039694,-3677.132228523,-1.243226458
203,-1030.125485641,-3844.480650584,-1.243226458
204,-519.507198925,-3946.048942823,-1.243226458
205,-0.000000000,-3980.099243598,-1.243226458
206,519.507198925,-3946.048942823,-1.243226458
207,1030.125485641,-3844.480650584,-1.243226458
208,1523.118039694,-3677.132228523,-1.243226458
209,1990.049621799,-3446.867054539,-1.243226458
210,2422.930903129,-3157.625029599,-1.243226458
211,2814.355164943,-2814.355164943,-1.243226458
212,3157.625029599,-2422.930903129,-1.243226458
213,3446.867054539,-1990.049621799,-1.243226458
214,3677.132228523,-1523.118039694,-1.243226458
215,3844.480650584,-1030.125485641,-1.243226458
216,3946.048942823,-519.507198925,-1.243226458
217,4477.611571684,0.000000000,-1.573458473
218,4447.335564065,519.818975678,-1.573458473
219,4356.916972276,1032.608291450,-1.573458473
220,4207.578552657,1531.433351504,-1.573458473
221,4001.339851146,2009.548402628,-1.573458473
222,3740.989892383,2460.487758954,-1.573458473
223,3430.049462933,2878.153239267,-1.573458473
224,3072.723498692,3256.896634445,-1.573458473
225,2673.844220339,3591.596089796,-1.573458473
226,2238.805785842,3877.725369357,-1.573458473
227,1773.491343727,4111.415065473,-1.573458473
228,1284.193473583,4289.504925895,-1.573458473
229,777.529089723,4409.586590771,-1.573458473
230,260.349958763,4470.036161582,-1.573458473
231,-260.349958763,4470.036161582,-1.573458473
232,-777.529089723,4409.586590771,-1.573458473
233,-1284.193473583,4289.504925895,-1.573458473
234,-1773.491343727,4111.415065473,-1.573458473
235,-2238.805785842,3877.725369357,-1.573458473
236,-2673.844220339,3591.596089796,-1.573458473
237,-3072.723498692,3256.896634445,-1.573458473
238,-3430.049462933,2878.153239267,-1.573458473
239,-3740.989892383,2460.487758954,-1.573458473
240,-4001.339851146,2009.548402628,-1.573458473
241,-4207.578552657,1531.433351504,-1.573458473
242,-4356.916972276,1032.608291450,-1.573458473
243,-4447.335564065,519.818975678,-1.573458473
244,-4477.611571684,0.000000000,-1.573458473
245,-4447.335564065,-519.818975678,-1.573458473
246,-4356.916972276,-1032.608291450,-1.573458473
247,-4207.578552657,-1531.433351504,-1.573458473
248,-4001.339851146,-2009.548402628,-1.573458473
249,-3740.989892383,-2460.487758954,-1.573458473
250,-3430.049462933,-2878.153239267,-1.573458473
251,-3072.723498692,-3256.896634445,-1.573458473
252,-2673.844220339,-3591.596089796,-1.573458473
253,-2238.805785842,-3877.725369357,-1.573458473
254,-1773.491343727,-4111.415065473,-1.573458473
255,-1284.193473583,-4289.504925895,-1.573458473
