time_s,cell_idx,snr_mrc_dB,n_sats
19.000000,10,-30.7527,2
19.000000,11,-17.3645,2
19.000000,12,-16.0856,2
19.000000,13,-20.2420,2
19.000000,14,-23.8014,2
19.000000,15,-19.5661,2
19.000000,16,-20.8115,2
19.000000,17,-18.1012,2
19.000000,18,-21.5780,2
19.000000,19,-26.7163,2
19.000000,20,-19.0439,2
19.000000,21,-21.8640,2
19.000000,22,-21.9277,2
19.000000,23,-21.0762,2
19.000000,24,-23.9948,2
20.000000,0,-27.9607,2
20.000000,1,-21.7580,2
20.000000,2,-21.1602,2
20.000000,3,-20.5954,2
20.000000,4,-15.2054,2
20.000000,5,-27.0941,2
20.000000,6,-19.8753,2
20.000000,7,-17.9890,2
20.000000,8,-15.9117,2
20.000000,9,-19.3190,2
20.000000,10,-28.8847,2
20.000000,11,-17.2719,2
20.000000,12,-16.5557,2
20.000000,13,-18.9295,2
20.000000,14,-23.0631,2
20.000000,15,-20.1803,2
20.000000,16,-19.3186,2
20.000000,17,-17.6163,2
20.000000,18,-21.6676,2
20.000000,19,-25.9039,2
20.000000,20,-19.0263,2
20.000000,21,-23.0007,2
20.000000,22,-21.6160,2
20.000000,23,-21.1647,2
20.000000,24,-24.4895,2
21.000000,0,-27.0502,2
21.000000,1,-20.5743,2
21.000000,2,-20.7889,2
21.000000,3,-22.5401,2
21.000000,4,-14.9503,2
21.000000,5,-26.5900,2
21.000000,6,-19.8916,2
21.000000,7,-17.5094,2
21.000000,8,-15.9229,2
21.000000,9,-21.3844,2
21.000000,10,-27.2412,2
21.000000,11,-17.4725,2
21.000000,12,-17.5341,2
21.000000,13,-17.5802,2
21.000000,14,-22.9789,2
21.000000,15,-21.0036,2
21.000000,16,-18.2622,2
21.000000,17,-17.2799,2
21.000000,18,-21.7745,2
21.000000,19,-25.4533,2
21.000000,20,-18.9140,2
21.000000,21,-24.2717,2
21.000000,22,-21.4886,2
21.000000,23,-21.1853,2
21.000000,24,-24.8874,2
22.000000,0,-25.7101,2
22.000000,1,-19.9306,2
22.000000,2,-20.5463,2
22.000000,3,-24.6483,2
22.000000,4,-14.7939,2
22.000000,5,-26.1499,2
22.000000,6,-20.3046,2
22.000000,7,-17.1031,2
22.000000,8,-16.0020,2
22.000000,9,-18.5748,2
22.000000,10,-25.4225,2
22.000000,11,-17.6436,2
22.000000,12,-18.9856,2
22.000000,13,-16.7466,2
22.000000,14,-23.5907,2
22.000000,15,-21.9188,2
22.000000,16,-17.6684,2
22.000000,17,-17.2307,2
22.000000,18,-21.5678,2
22.000000,19,-25.4191,2
22.000000,20,-19.0603,2
22.000000,21,-25.5843,2
22.000000,22,-21.4728,2
22.000000,23,-21.2089,2
22.000000,24,-24.8695,2
23.000000,0,-24.9735,2
23.000000,1,-19.8286,2
23.000000,2,-20.4558,2
23.000000,3,-23.5369,2
23.000000,4,-14.8955,2
23.000000,5,-26.1485,2
23.000000,6,-20.8107,2
23.000000,7,-16.8131,2
23.000000,8,-16.2485,2
23.000000,9,-16.7842,2
23.000000,10,-24.0270,2
23.000000,11,-17.8893,2
23.000000,12,-19.2419,2
23.000000,13,-16.4647,2
23.000000,14,-25.0550,2
23.000000,15,-23.1643,2
23.000000,16,-17.3106,2
23.000000,17,-17.6135,2
23.000000,18,-21.0603,2
23.000000,19,-25.5344,2
23.000000,20,-19.3015,2
23.000000,21,-24.2543,2
23.000000,22,-21.7402,2
23.000000,23,-21.4206,2
23.000000,24,-25.0764,2
24.000000,0,-24.7023,2
24.000000,1,-19.8151,2
24.000000,2,-20.6254,2
24.000000,3,-22.3786,2
24.000000,4,-15.0748,2
24.000000,5,-26.4246,2
24.000000,6,-21.4663,2
24.000000,7,-16.8733,2
24.000000,8,-16.9182,2
24.000000,9,-15.5937,2
24.000000,10,-22.9680,2
24.000000,11,-17.9304,2
24.000000,12,-17.3821,2
24.000000,13,-16.2103,2
24.000000,14,-27.1491,2
24.000000,15,-22.0364,2
24.000000,16,-17.1935,2
24.000000,17,-18.2973,2
24.000000,18,-20.8386,2
24.000000,19,-25.8412,2
24.000000,20,-19.9600,2
24.000000,21,-22.8875,2
24.000000,22,-22.0105,2
24.000000,23,-21.9586,2
24.000000,24,-25.5738,2
25.000000,0,-24.4032,2
25.000000,1,-19.8686,2
25.000000,2,-20.8639,2
25.000000,3,-21.1960,2
25.000000,4,-15.2318,2
25.000000,5,-27.0908,2
25.000000,6,-22.2160,2
25.000000,7,-17.2743,2
25.000000,8,-17.8897,2
25.000000,9,-14.9678,2
25.000000,10,-22.2113,2
25.000000,11,-18.0250,2
25.000000,12,-16.2037,2
25.000000,13,-16.0221,2
25.000000,14,-26.8369,2
25.000000,15,-20.3781,2
25.000000,16,-17.1128,2
25.000000,17,-19.0557,2
25.000000,18,-20.6194,2
25.000000,19,-26.3267,2
25.000000,20,-20.7943,2
25.000000,21,-22.0867,2
25.000000,22,-22.4487,2
25.000000,23,-22.6171,2
25.000000,24,-26.3861,2
26.000000,0,-24.0435,2
26.000000,1,-19.8985,2
26.000000,2,-21.0486,2
26.000000,3,-20.5830,2
26.000000,4,-15.9746,2
26.000000,5,-28.1443,2
26.000000,6,-23.0614,2
26.000000,7,-17.6873,2
26.000000,8,-19.2870,2
26.000000,9,-14.7986,2
26.000000,10,-21.7060,2
26.000000,11,-18.3575,2
26.000000,12,-15.5339,2
26.000000,13,-15.9727,2
26.000000,14,-23.3618,2
26.000000,15,-19.2201,2
26.000000,16,-17.0629,2
26.000000,17,-19.7952,2
26.000000,18,-20.6106,2
26.000000,19,-27.1274,2
26.000000,20,-22.0782,2
26.000000,21,-21.7657,2
26.000000,22,-22.8790,2
26.000000,23,-23.2541,2
26.000000,24,-27.3748,2
27.000000,0,-24.0453,2
27.000000,1,-20.0566,2
27.000000,2,-21.7103,2
27.000000,3,-20.5157,2
27.000000,4,-17.3403,2
27.000000,5,-29.3420,2
27.000000,6,-24.0897,2
27.000000,7,-17.4563,2
27.000000,8,-18.9321,2
27.000000,9,-14.7623,2
27.000000,10,-21.4672,2
27.000000,11,-18.7894,2
27.000000,12,-15.2631,2
27.000000,13,-16.3548,2
27.000000,14,-21.0272,2
27.000000,15,-18.4456,2
27.000000,16,-16.9395,2
27.000000,17,-20.1284,2
27.000000,18,-20.6157,2
27.000000,19,-28.1443,2
27.000000,20,-23.8965,2
27.000000,21,-21.8771,2
27.000000,22,-23.5308,2
27.000000,23,-24.0826,2
27.000000,24,-28.5101,2
28.000000,0,-24.4755,2
28.000000,1,-20.2830,2
28.000000,2,-22.8941,2
28.000000,3,-20.9157,2
28.000000,4,-19.0304,2
28.000000,5,-30.6878,2
28.000000,6,-23.9568,2
28.000000,7,-17.1185,2
28.000000,8,-17.2761,2
28.000000,9,-14.7621,2
28.000000,10,-21.0871,2
28.000000,11,-19.2576,2
28.000000,12,-15.2997,2
28.000000,13,-16.9145,2
28.000000,14,-19.4780,2
28.000000,15,-17.9997,2
28.000000,16,-17.0696,2
28.000000,17,-19.4193,2
28.000000,18,-20.8437,2
28.000000,19,-29.0310,2
28.000000,20,-23.8850,2
28.000000,21,-22.3827,2
28.000000,22,-24.5675,2
28.000000,23,-25.1107,2
28.000000,24,-28.1340,2
29.000000,0,-25.3574,2
29.000000,1,-20.9207,2
29.000000,2,-24.7098,2
29.000000,3,-21.7343,2
29.000000,4,-21.1364,2
29.000000,5,-31.6471,2
29.000000,6,-22.2977,2
29.000000,7,-17.0934,2
29.000000,8,-16.2534,2
29.000000,9,-14.7181,2
29.000000,10,-20.8336,2
29.000000,11,-19.9442,2
29.000000,12,-15.2340,2
29.000000,13,-17.7102,2
29.000000,14,-18.5387,2
29.000000,15,-17.8041,2
29.000000,16,-17.3781,2
29.000000,17,-18.6662,2
29.000000,18,-21.2378,2
29.000000,19,-28.7830,2
29.000000,20,-22.8076,2
29.000000,21,-22.9374,2
29.000000,22,-26.0794,2
29.000000,23,-24.6736,2
29.000000,24,-28.0036,2
30.000000,0,-26.4034,2
30.000000,1,-22.0159,2
30.000000,2,-26.9455,2
30.000000,3,-22.3041,2
30.000000,4,-21.8424,2
30.000000,5,-31.0818,2
30.000000,6,-21.2085,2
30.000000,7,-17.3765,2
30.000000,8,-15.6234,2
30.000000,9,-14.7613,2
30.000000,10,-20.3532,2
30.000000,11,-19.3039,2
30.000000,12,-15.2660,2
30.000000,13,-18.7752,2
30.000000,14,-18.1226,2
30.000000,15,-17.7490,2
30.000000,16,-18.0118,2
30.000000,17,-18.0431,2
30.000000,18,-21.9676,2
30.000000,19,-28.4446,2
30.000000,20,-21.9263,2
30.000000,21,-23.7247,2
30.000000,22,-28.0864,2
30.000000,23,-23.6859,2
30.000000,24,-27.9691,2
31.000000,0,-27.5366,2
31.000000,1,-23.5563,2
31.000000,2,-24.6470,2
31.000000,3,-22.8543,2
