time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,45089,18,178.155200681,-1.740667210,6.398725226,43.711964300
385.370000000,38537,89.997547754,45090,18,178.155200872,-1.862658045,6.313037463,43.626276729
385.370000000,38537,89.997547754,45091,18,178.155201066,-1.995172359,6.218516059,43.531755518
385.370000000,38537,89.997547754,45092,18,178.155201263,-2.138153218,6.115073494,43.428313150
385.370000000,38537,89.997547754,45093,18,178.155201462,-2.291568213,6.002611063,43.315850918
385.370000000,38537,89.997547754,45094,18,178.155201663,-2.455409852,5.881018280,43.194258336
385.370000000,38537,89.997547754,45095,18,178.155201866,-2.629695782,5.750172193,43.063412452
385.370000000,38537,89.997547754,45096,18,178.155202072,-2.814468885,5.609936594,42.923177059
385.370000000,38537,89.997547754,45097,18,178.155202280,-3.009797300,5.460161122,42.773401796
385.370000000,38537,89.997547754,45098,18,178.155202491,-3.215774410,5.300680235,42.613921119
385.370000000,38537,89.997547754,45099,18,178.155202703,-3.432518860,5.131312039,42.444553136
385.370000000,38537,89.997547754,45100,18,178.155202918,-3.660174630,4.951856955,42.265098266
385.370000000,38537,89.997547754,45101,18,178.155203135,-3.898911255,4.762096198,42.075337727
385.370000000,38537,89.997547754,45102,14,178.155203355,-4.022286315,4.652873982,41.966115730
385.370000000,38537,89.997547754,45103,15,178.155203576,-4.008469045,4.642077627,41.955319597
385.370000000,38537,89.997547754,45104,15,178.155203800,-3.590648073,4.916997231,42.230239424
385.370000000,38537,89.997547754,45105,15,178.155204026,-3.175228224,5.182750496,42.495992915
385.370000000,38537,89.997547754,45106,15,178.155204254,-2.761968442,5.439557359,42.752800006
385.370000000,38537,89.997547754,45107,15,178.155204484,-2.350662442,5.687621751,43.000864628
385.370000000,38537,89.997547754,45108,15,178.155204716,-1.941140539,5.927133002,43.240376112
385.370000000,38537,89.997547754,45109,15,178.155204950,-1.533272267,6.158267099,43.471510443
385.370000000,38537,89.997547754,45110,15,178.155205187,-1.126969865,6.381187790,43.694431370
385.370000000,38537,89.997547754,45111,15,178.155205425,-0.722192703,6.596047584,43.909291403
385.370000000,38537,89.997547754,45112,15,178.155205666,-0.318952774,6.802988634,44.116232693
385.370000000,38537,89.997547754,45113,15,178.155205909,0.082678668,7.002143529,44.315387831
385.370000000,38537,89.997547754,45114,15,178.155206153,0.482563200,7.193636012,44.506880558
385.370000000,38537,89.997547754,45115,15,178.155206400,0.880485962,7.377581607,44.690826400
385.370000000,38537,89.997547754,45116,15,178.155206648,1.276144956,7.554088200,44.867333242
385.370000000,38537,89.997547754,45117,15,178.155206899,1.669138885,7.723256552,45.036501844
385.370000000,38537,89.997547754,45118,15,178.155207151,2.058953574,7.885180758,45.198426302
385.370000000,38537,89.997547754,45119,15,178.155207406,2.444947140,8.039948665,45.353194464
385.370000000,38537,89.997547754,45120,15,178.155207662,2.826334227,8.187642247,45.500888302
385.370000000,38537,89.997547754,45121,15,178.155207920,3.202169865,8.328337939,45.641584252
385.370000000,38537,89.997547754,45122,15,178.155208180,3.571333788,8.462106939,45.775353513
385.370000000,38537,89.997547754,45123,15,178.155208442,3.932516437,8.589015478,45.902262314
385.370000000,38537,89.997547754,45124,15,178.155208706,4.284208301,8.709125062,46.022372162
385.370000000,38537,89.997547754,45125,15,178.155208971,4.624694701,8.822492686,46.135740051
385.370000000,38537,89.997547754,45126,15,178.155209239,4.952058609,8.929171026,46.242418658
385.370000000,38537,89.997547754,45127,15,178.155209508,5.264194357,9.029208608,46.342456510
385.370000000,38537,89.997547754,45128,15,178.155209779,5.558835175,9.122649957,46.435898129
385.370000000,38537,89.997547754,45129,15,178.155210051,5.833597120,9.209535721,46.522784166
385.370000000,38537,89.997547754,45130,15,178.155210326,6.086040920,9.289902791,46.603151510
385.370000000,38537,89.997547754,45131,15,178.155210602,6.313751617,9.363784384,46.677033379
385.370000000,38537,89.997547754,45132,15,178.155210879,6.514433441,9.431210131,46.744459403
385.370000000,38537,89.997547754,45133,15,178.155211159,6.686014572,9.492206128,46.805455680
385.370000000,38537,89.997547754,45134,15,178.155211440,6.826753587,9.546794994,46.860044827
385.370000000,38537,89.997547754,45135,15,178.155211722,6.935337384,9.594995895,46.908246010
385.370000000,38537,89.997547754,45136,15,178.155212006,7.010959676,9.636824569,46.950074968
385.370000000,38537,89.997547754,45137,15,178.155212292,7.053370418,9.672293326,46.985544011
385.370000000,38537,89.997547754,45138,15,178.155212579,7.062889741,9.701411043,47.014662016
385.370000000,38537,89.997547754,45139,15,178.155212868,7.040384525,9.724183142,47.037434404
385.370000000,38537,89.997547754,45140,15,178.155213159,6.987210765,9.740611550,47.053863102
385.370000000,38537,89.997547754,45141,15,178.155213450,6.905129176,9.750694654,47.063946498
385.370000000,38537,89.997547754,45142,15,178.155213744,6.796204198,9.754427234,47.067679371
385.370000000,38537,89.997547754,45143,15,178.155214038,6.662697297,9.751800389,47.065052820
385.370000000,38537,89.997547754,45144,15,178.155214334,6.506964348,9.742801438,47.056054166
385.370000000,38537,89.997547754,45145,15,178.155214632,6.331364600,9.727413818,47.040666843
385.370000000,38537,89.997547754,45146,15,178.155214931,6.138185800,9.705616954,47.018870278
385.370000000,38537,89.997547754,45147,15,178.155215231,5.929587343,9.677386121,46.990639745
385.370000000,38537,89.997547754,45148,15,178.155215533,5.707561080,9.642692280,46.955946206
385.370000000,38537,89.997547754,45149,15,178.155215836,5.473907881,9.601501903,46.914756132
385.370000000,38537,89.997547754,45150,15,178.155216140,5.230227276,9.553776767,46.867031301
385.370000000,38537,89.997547754,45151,15,178.155216445,4.977917204,9.499473738,46.812728577
385.370000000,38537,89.997547754,45152,15,178.155216752,4.718181058,9.438544519,46.751799665
385.370000000,38537,89.997547754,45153,15,178.155217060,4.452039574,9.370935379,46.684190832
385.370000000,38537,89.997547754,45154,15,178.155217369,4.180345560,9.296586850,46.609842613
385.370000000,38537,89.997547754,45155,15,178.155217680,3.903799939,9.215433397,46.528689470
385.370000000,38537,89.997547754,45156,15,178.155217991,3.622967985,9.127403046,46.440659431
385.370000000,38537,89.997547754,45157,15,178.155218304,3.338295003,9.032416984,46.345673681
385.370000000,38537,89.997547754,45158,15,178.155218618,3.050120959,8.930389106,46.243646117
385.370000000,38537,89.997547754,45159,15,178.155218933,2.758693786,8.821225526,46.134482852
385.370000000,38537,89.997547754,45160,15,178.155219249,2.464181250,8.704824029,46.018081671
385.370000000,38537,89.997547754,45161,15,178.155219566,2.166681341,8.581073466,45.894331425
385.370000000,38537,89.997547754,45162,15,178.155219884,1.866231239,8.449853090,45.763111367
385.370000000,38537,89.997547754,45163,15,178.155220203,1.562814937,8.311031813,45.624290409
385.370000000,38537,89.997547754,45164,15,178.155220523,1.256369618,8.164467381,45.477726296
385.370000000,38537,89.997547754,45165,15,178.155220843,0.946790898,8.010005462,45.323264699
385.370000000,38537,89.997547754,45166,15,178.155221165,0.633937040,7.847478626,45.160738185
385.370000000,38537,89.997547754,45167,15,178.155221488,0.317632240,7.676705203,44.989965085
385.370000000,38537,89.997547754,45168,15,178.155221812,-0.002330930,7.497488009,44.810748214
385.370000000,38537,89.997547754,45169,15,178.155222136,-0.326189847,7.309612914,44.622873444
385.370000000,38537,89.997547754,45170,15,178.155222462,-0.654210867,7.112847233,44.426108088
385.370000000,38537,89.997547754,45171,15,178.155222788,-0.986689005,6.906937908,44.220199090
385.370000000,38537,89.997547754,45172,15,178.155223115,-1.323948258,6.691609455,44.004870963
385.370000000,38537,89.997547754,45173,15,178.155223442,-1.666342517,6.466561630,43.779823466
385.370000000,38537,89.997547754,45174,15,178.155223771,-2.014257092,6.231466775,43.544728939
385.370000000,38537,89.997547754,45175,15,178.155224100,-2.368110858,5.985966785,43.299229278
385.370000000,38537,89.997547754,45176,15,178.155224430,-2.728359043,5.729669629,43.042932452
385.370000000,38537,89.997547754,45177,15,178.155224761,-3.095496718,5.462145347,42.775408501
385.370000000,38537,89.997547754,45178,15,178.155225092,-3.470063056,5.182921424,42.496184910
385.370000000,38537,89.997547754,45179,15,178.155225424,-3.852646459,4.891477417,42.204741234
385.370000000,38537,89.997547754,45180,15,178.155225756,-4.243890686,4.587238687,41.900502836
385.370000000,38537,89.997547754,45181,11,178.155226089,-4.032480799,4.716823118,42.030087600
385.370000000,38537,89.997547754,45182,11,178.155226423,-3.758944984,4.888756566,42.202021382
385.370000000,38537,89.997547754,45183,11,178.155226757,-3.493627610,5.052114450,42.365379600
385.370000000,38537,89.997547754,45184,11,178.155227091,-3.236802961,5.207011186,42.520276671
385.370000000,38537,89.997547754,45185,11,178.155227426,-2.988779831,5.353553611,42.666819430
385.370000000,38537,89.997547754,45186,11,178.155227762,-2.749900721,5.491841350,42.805107505
385.370000000,38537,89.997547754,45187,11,178.155228098,-2.520540509,5.621967149,42.935233640
385.370000000,38537,89.997547754,45188,11,178.155228434,-2.301104523,5.744017174,43.057284001
385.370000000,38537,89.997547754,45189,11,178.155228771,-2.092025914,5.858071284,43.171338449
385.370000000,38537,89.997547754,45190,11,178.155229108,-1.893762239,5.964203284,43.277470786
385.370000000,38537,89.997547754,45191,11,178.155229445,-1.706791206,6.062481145,43.375748983
385.370000000,38537,89.997547754,45192,11,178.155229783,-1.531605528,6.152967208,43.466235384
385.370000000,38537,89.997547754,45193,11,178.155230121,-1.368706866,6.235718371,43.548986885
385.370000000,38537,89.997547754,45194,11,178.155230459,-1.218598921,6.310786250,43.624055102
385.370000000,38537,89.997547754,45195,11,178.155230798,-1.081779726,6.378217329,43.691486520
385.370000000,38537,89.997547754,45196,11,178.155231136,-0.958733286,6.438053087,43.751322617
385.370000000,38537,89.997547754,45197,11,178.155231475,-0.849920759,6.490330119,43.803599988
385.370000000,38537,89.997547754,45198,11,178.155231814,-0.755771415,6.535080230,43.848350438
385.370000000,38537,89.997547754,45199,11,178.155232153,-0.676673658,6.572330526,43.885601073
385.370000000,38537,89.997547754,45200,11,178.155232493,-0.612966455,6.602103486,43.915374372
385.370000000,38537,89.997547754,45201,11,178.155232832,-0.564931497,6.624417021,43.937688247
385.370000000,38537,89.997547754,45202,11,178.155233171,-0.532786426,6.639284525,43.952556090
385.370000000,38537,89.997547754,45203,11,178.155233511,-0.516679464,6.646714904,43.959986809
385.370000000,38537,89.997547754,45204,11,178.155233850,-0.516685661,6.646712609,43.959984853
385.370000000,38537,89.997547754,45205,11,178.155234190,-0.532804977,6.639277638,43.952550221
385.370000000,38537,89.997547754,45206,11,178.155234529,-0.564962288,6.624405543,43.937678466
385.370000000,38537,89.997547754,45207,11,178.155234869,-0.613009302,6.602087415,43.915360677
385.370000000,38537,89.997547754,45208,11,178.155235208,-0.676728307,6.572309861,43.885583462
385.370000000,38537,89.997547754,45209,11,178.155235547,-0.755837550,6.535054969,43.848328910
385.370000000,38537,89.997547754,45210,11,178.155235886,-0.849998010,6.490300260,43.803574540
385.370000000,38537,89.997547754,45211,11,178.155236225,-0.958821235,6.438018628,43.751293246
385.370000000,38537,89.997547754,45212,11,178.155236564,-1.081877918,6.378178266,43.691453223
385.370000000,38537,89.997547754,45213,11,178.155236902,-1.218706871,6.310742580,43.624017876
385.370000000,38537,89.997547754,45214,11,178.155237240,-1.368824068,6.235670090,43.548945724
385.370000000,38537,89.997547754,45215,11,178.155237578,-1.531731462,6.152914312,43.466190284
385.370000000,38537,89.997547754,45216,11,178.155237916,-1.706925350,6.062423630,43.375699939
385.370000000,38537,89.997547754,45217,11,178.155238254,-1.893904070,5.964141145,43.277417792
385.370000000,38537,89.997547754,45218,11,178.155238591,-2.092174920,5.858004514,43.171281498
385.370000000,38537,89.997547754,45219,11,178.155238927,-2.301260205,5.743945767,43.057223087
385.370000000,38537,89.997547754,45220,11,178.155239264,-2.520702385,5.621891099,42.935168756
385.370000000,38537,89.997547754,45221,11,178.155239600,-2.750068332,5.491760649,42.805038642
385.370000000,38537,89.997547754,45222,11,178.155239935,-2.988952741,5.353468251,42.666746580
385.370000000,38537,89.997547754,45223,11,178.155240270,-3.236980759,5.206921160,42.520199824
