time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
1.000000,1,0,-56568.542,-28284.271,54.2613,1,180.3010,45.6365,6.1774,-5.1799
1.000000,1,1,-28284.271,-28284.271,54.2613,1,180.1644,45.2182,5.8957,-6.6686
1.000000,1,2,0.000,-28284.271,54.2613,1,179.9964,46.0910,6.9365,-5.4229
1.000000,1,3,28284.271,-28284.271,54.2613,1,179.8778,45.7933,6.7575,-4.8783
1.000000,1,4,56568.542,-28284.271,54.2613,1,179.7694,43.1634,4.2359,-6.6510
1.000000,2,0,-56568.542,0.000,54.2613,1,180.4409,47.5517,7.9528,-6.1559
1.000000,2,1,-28284.271,0.000,54.2613,1,180.3084,47.6508,8.1844,-6.8553
1.000000,2,2,0.000,0.000,54.2613,1,180.1843,47.7125,8.3701,-7.0054
1.000000,2,3,28284.271,0.000,54.2613,1,180.0295,47.5834,8.3958,-6.8439
1.000000,2,4,56568.542,0.000,54.2613,1,179.9247,46.9948,7.9121,-6.4806
1.000000,3,0,-56568.542,28284.271,54.2613,1,180.5880,44.2068,4.4608,-6.5374
1.000000,3,1,-28284.271,28284.271,54.2613,1,180.4596,45.9278,6.3102,-5.2720
1.000000,3,2,0.000,28284.271,54.2613,1,180.3396,46.1036,6.6060,-5.5409
1.000000,3,3,28284.271,28284.271,54.2613,1,180.2286,45.5979,6.2113,-5.8225
1.000000,3,4,56568.542,28284.271,54.2613,1,180.0873,44.7129,5.4676,-5.5696
1.000000,4,0,-56568.542,56568.542,54.2613,1,180.7415,36.0598,-3.8398,-7.1059
1.000000,4,1,-28284.271,56568.542,54.2613,1,180.6174,37.4812,-2.2942,-6.7488
1.000000,4,2,0.000,56568.542,54.2613,1,180.5013,39.1162,-0.5432,-5.2129
1.000000,4,3,28284.271,56568.542,54.2613,1,180.3942,38.0333,-1.5189,-6.2985
1.000000,4,4,56568.542,56568.542,54.2613,1,180.2965,36.1075,-3.3470,-7.8518
1.100000,0,0,-56568.542,-56568.542,54.2992,1,180.1662,35.1627,-4.1615,-8.7571
1.100000,0,1,-28284.271,-56568.542,54.2992,1,179.9855,36.4212,-2.7223,-7.1277
1.100000,0,2,0.000,-56568.542,54.2992,1,179.8535,37.8742,-1.1374,-5.2198
1.100000,0,3,28284.271,-56568.542,54.2992,1,179.7312,34.6152,-4.2740,-8.4204
1.100000,0,4,56568.542,-56568.542,54.2992,1,179.6193,32.6281,-6.1492,-9.3059
1.100000,1,0,-56568.542,-28284.271,54.2992,1,180.2978,45.6465,6.1907,-5.1635
1.100000,1,1,-28284.271,-28284.271,54.2992,1,180.1611,45.2162,5.8971,-6.6655
1.100000,1,2,0.000,-28284.271,54.2992,1,179.9930,46.0966,6.9456,-5.4047
1.100000,1,3,28284.271,-28284.271,54.2992,1,179.8743,45.7993,6.7670,-4.8534
1.100000,1,4,56568.542,-28284.271,54.2992,1,179.7658,43.1629,4.2390,-6.6316
1.100000,2,0,-56568.542,0.000,54.2992,1,180.4374,47.5515,7.9561,-6.1521
