time_s,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
271.000000000,32.358199197,3,9,182.941855434,-7.121078150,5.611894643,47.711788470
271.000000000,32.358199197,4,9,182.943766883,-7.120502652,5.610558432,47.712363708
271.000000000,32.358199197,5,9,182.941855434,-7.121078149,5.611894641,47.711788469
271.000000000,32.358199197,6,9,182.938030317,-7.120695908,5.615719099,47.711787809
271.000000000,32.358199197,7,9,182.932290684,-7.119473034,5.621732257,47.712061334
271.000000000,32.358199197,8,9,182.933317103,-7.120600819,5.619937483,47.711292979
271.000000000,32.358199197,9,9,182.936120245,-7.122928996,5.615599191,47.709757829
271.000000000,32.358199197,10,9,182.939946840,-7.124331778,5.611007876,47.708993109
271.000000000,32.358199197,11,9,182.943770474,-7.123688161,5.607954244,47.709763112
271.000000000,32.358199197,12,9,182.946567694,-7.121923418,5.606691114,47.711297202
271.000000000,32.358199197,13,9,182.947591152,-7.121004680,5.606433819,47.712063364
271.000000000,32.358199197,14,9,182.946567694,-7.121923418,5.606691111,47.711297198
271.000000000,32.358199197,15,9,182.943770474,-7.123688160,5.607954240,47.709763108
271.000000000,32.358199197,16,9,182.939946840,-7.124331774,5.611007874,47.708993107
271.000000000,32.358199197,17,9,182.936120245,-7.122928990,5.615599191,47.709757829
271.000000000,32.358199197,18,9,182.933317103,-7.120600814,5.619937484,47.711292980
271.000000000,32.358199197,19,9,182.928464156,-7.119289734,5.625054309,47.711556858
271.000000000,32.358199197,20,9,182.929157765,-7.120439540,5.623551024,47.710747183
271.000000000,32.358199197,21,9,182.931154390,-7.123372739,5.619505512,47.708698295
271.000000000,32.358199197,22,9,182.934211832,-7.126781511,5.614121490,47.706371715
271.000000000,32.358199197,23,9,182.937959758,-7.129174290,5.608860052,47.704858202
271.000000000,32.358199197,24,9,182.941945097,-7.129562873,5.604882370,47.704865861
271.000000000,32.358199197,25,9,182.945687165,-7.127906973,5.602663985,47.706389543
271.000000000,32.358199197,26,9,182.948735631,-7.125112502,5.601941675,47.708715699
271.000000000,32.358199197,27,9,182.950724363,-7.122590351,5.601995086,47.710757843
271.000000000,32.358199197,28,9,182.951414855,-7.121585590,5.602110459,47.711563708
271.000000000,32.358199197,29,9,182.950724363,-7.122590352,5.601995082,47.710757838
271.000000000,32.358199197,30,9,182.948735631,-7.125112504,5.601941667,47.708715692
271.000000000,32.358199197,31,9,182.945687165,-7.127906973,5.602663978,47.706389536
271.000000000,32.358199197,32,9,182.941945097,-7.129562869,5.604882365,47.704865856
271.000000000,32.358199197,33,9,182.937959758,-7.129174282,5.608860050,47.704858201
271.000000000,32.358199197,34,9,182.934211832,-7.126781500,5.614121492,47.706371717
271.000000000,32.358199197,35,9,182.931154390,-7.123372729,5.619505516,47.708698299
271.000000000,32.358199197,36,9,182.929157765,-7.120439534,5.623551027,47.710747185
272.000000000,32.629226975,0,9,182.886765763,-7.055501270,5.667659834,47.712463990
272.000000000,32.629226975,1,9,182.882932584,-7.055119172,5.671388882,47.712359860
272.000000000,32.629226975,2,9,182.884850152,-7.056108279,5.668890868,47.711779413
272.000000000,32.629226975,3,9,182.888683052,-7.056531971,5.665058640,47.711780085
272.000000000,32.629226975,4,9,182.890598385,-7.055968245,5.663723344,47.712360123
272.000000000,32.629226975,5,9,182.888683052,-7.056531968,5.665058640,47.711780085
272.000000000,32.629226975,6,9,182.884850152,-7.056108275,5.668890869,47.711779414
272.000000000,32.629226975,7,9,182.879098851,-7.054822301,5.674909693,47.712046937
272.000000000,32.629226975,8,9,182.880127364,-7.055973175,5.673106413,47.711272170
272.000000000,32.629226975,9,9,182.882936220,-7.058355624,5.668749605,47.709724218
272.000000000,32.629226975,10,9,182.886770607,-7.059811764,5.664144140,47.708953140
272.000000000,32.629226975,11,9,182.890602016,-7.059197597,5.661089182,47.709729591
272.000000000,32.629226975,12,9,182.893404917,-7.057439309,5.659833179,47.711276489
272.000000000,32.629226975,13,9,182.894430452,-7.056519750,5.659580199,47.712049044
272.000000000,32.629226975,14,9,182.893404917,-7.057439307,5.659833178,47.711276488
272.000000000,32.629226975,15,9,182.890602016,-7.059197592,5.661089181,47.709729590
272.000000000,32.629226975,16,9,182.886770607,-7.059811756,5.664144141,47.708953141
272.000000000,32.629226975,17,9,182.882936220,-7.058355615,5.668749608,47.709724221
272.000000000,32.629226975,18,9,182.880127364,-7.055973168,5.673106416,47.711272173
272.000000000,32.629226975,19,9,182.875264563,-7.054611016,5.678221463,47.711524419
272.000000000,32.629226975,20,9,182.875959590,-7.055780950,5.676710004,47.710707987
272.000000000,32.629226975,21,9,182.877960291,-7.058767683,5.672643321,47.708642006
272.000000000,32.629226975,22,9,182.881023971,-7.062245780,5.667233666,47.706296031
272.000000000,32.629226975,23,9,182.884779534,-7.064702683,5.661952005,47.704769932
272.000000000,32.629226975,24,9,182.888772982,-7.065134289,5.657966338,47.704777714
272.000000000,32.629226975,25,9,182.892522653,-7.063495214,5.655753117,47.706314164
